lat_bin,lon_bin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
28,-99,,,,,,,,,,188359.1327144663,189271.10538370346,186892.09282924596,164342.34388701158,178735.5660444089,201529.37705087345,216565.04359769804,209041.64161274297,209773.67850463063,214398.19464923217,225500.47884358087,237938.31175527806,265566.3095251605,310312.2990727913,291424.42038631457,287120.23930732673,283512.53027468285
28,-98,,,,,126752.53252598426,140670.27191723438,147490.743359422,158549.36714392467,161541.00987061634,141900.964191777,126237.65959532959,126667.21110186636,127833.5597680888,132951.83711294996,143924.64774269488,152072.50469941477,162947.5337446719,164312.14046104712,170233.36059369452,184547.86569450298,196507.43410651386,213165.21885399084,236022.8073801509,222136.47731282527,215869.50098508396,212030.64240951915
28,-97,,,,,,,,,,130312.25710527181,128833.7360787868,128895.8120541718,128256.66242451825,130786.33528022784,137711.6030868303,144679.8207338975,149284.1111671415,150084.92758376195,149144.12571546092,157674.12476749622,165657.5781957799,183840.51723511063,202433.8738523123,200369.61720243286,200150.35108918726,197060.26183080592
28,-96,77233.64834806685,79737.9202863891,82384.86917895617,86667.9937053551,90596.36770497003,95897.06792840314,100599.47096655489,107136.32963012252,115445.84470696904,132361.5134246723,130921.02231791597,127125.15996772493,127013.76078830415,133357.89984584917,141490.1328089585,150480.57527297933,160604.49538546544,170236.54055345734,179098.54337190161,182586.2846345614,189062.75241408346,204588.34536450132,214298.6463662108,212384.2926765037,214887.8202770619,221760.9843298413
28,-83,110753.78237943252,118792.74953384257,127565.10405189723,142043.83592366212,159446.557883852,193496.57219314127,235649.4081960324,230851.24675530326,196313.61499332613,163494.71614225858,149773.57472018385,134908.1606261847,130707.03277123066,142366.54978692636,156165.02142609208,167055.0715357963,181772.94548135236,196079.96600408197,212190.7291387954,224052.81203272656,240305.396297831,287362.26041782234,361042.31401847774,372674.00331361505,381213.8815378201,369357.6690998094
28,-82,125926.43959868034,134321.538186773,142918.70641252273,153937.432504008,171193.78352799642,211971.45116536794,264891.1312181027,263552.6999403095,224408.17071922842,174723.4766034135,154333.88081465857,138627.06444810118,138223.9605921756,156553.54556123394,177062.77527447618,190014.24508061397,204684.35197524788,220730.24280035467,239321.36187538548,255673.58673824286,271791.5786916018,311611.7448136214,384245.08810932067,400472.87433152396,411482.4804791783,403686.5185713921
28,-81,111462.62503956839,118821.09454813784,130685.43687266001,147260.11139738542,177392.84506676157,229521.69329887963,266853.12803799135,244405.79861451752,197119.05418073642,162650.10056005593,148161.03121894135,132758.56555135027,130623.90620746103,144063.96432132783,160214.8615693143,175906.66582847276,195132.82116026775,215847.40467582288,235117.58756454333,245855.92137937713,263485.2052006185,312735.6683828967,384971.68392696214,401176.1992947723,408704.973334399,396196.4859406932
29,-105,,,,,,,,,,,,,,,,,,,,,,,195278.39859852337,167828.87450076023,160235.42498428238,161378.07346086897
29,-104,,,,,,,,,,141521.30216473667,141149.51050559495,139342.09856600026,143799.2818394075,146569.0440546357,151351.88346289747,164701.33350332506,168780.64725475176,169873.71182172146,178164.44430473677,185907.79080681343,195784.1917804142,224969.4919243617,257930.610519801,244861.08909292336,241041.81777338684,248015.7231917364
29,-101,,,,,,,,,,131143.6526019188,127531.33479379724,126551.57121471663,125861.91794165998,122041.57382551914,121571.62460412765,127019.90388795662,114634.11276104453,117137.37733893679,119978.44085145253,127132.05123738854,137327.61966392153,149507.93599146907,189301.79822351155,181170.49767469903,176824.7998461007,173422.51089611606
29,-100,,,,,,180432.1081578376,182641.64648718495,188274.9076836733,188308.4999135557,144853.50510827976,140591.91017828358,138075.506187352,138540.7721499566,144232.17440933903,155388.43358112563,176635.30611217744,184122.28253249082,192613.618205714,207130.15927911483,221498.81669123739,238689.0759645476,279763.8257662966,324932.3102885878,317645.7541509757,316626.9456347847,318898.30644450587
29,-99,115955.42891706276,114376.52629014176,115254.41044478775,118129.32518521715,126377.71822850809,133946.1962259445,141128.98162048135,150145.86654353092,153280.6143311645,159256.22011771193,157519.42877463144,153218.73380645926,154515.82919921496,162189.21715612663,173715.8747563768,187192.34355706043,199028.65799972916,212819.1556372029,225021.2193804816,233572.40962362278,248500.68588626003,285277.63589380693,331131.86721466965,331365.5593087796,327746.19771401974,322143.45866561047
29,-98,111007.79842479396,111698.81314144842,121540.90843944986,131996.7584245279,135236.70732879054,142993.73429171453,149207.68790821842,156750.55290318228,159147.16945423966,145838.84339049074,148451.77866511987,145834.35685733124,147531.8618045915,153957.3267558489,164445.72023940127,179169.87580420263,192288.23931097417,204126.5031283997,214451.2935888862,227461.03598841256,244770.61985696806,291534.95738389716,342823.11594211677,327212.5848167744,317849.26987848553,311511.72090737725
29,-97,,,,,,,166013.24802361516,163634.40465123416,162416.25517019798,174326.71255894925,171073.95783939434,169168.48017820544,172429.89337010757,179125.07113736484,193007.49955932618,208084.59011274597,223615.26400957842,234865.5440841999,239713.80292477124,254121.07322645863,272779.45710619836,305007.4698427408,330101.149363432,321235.97796830494,319189.823001105,324586.35364049766
29,-96,139835.28233820995,140083.77712483716,145073.48814948162,149196.9492701247,155765.53196689364,163130.67111453312,167151.8617995512,172561.59271631076,172872.31055414464,169614.0224727189,169416.6921165076,163137.76463950064,163408.11005592474,176559.0866557078,199192.5527071368,222509.18131334172,231169.91656532956,237328.77498577916,244968.03696338515,254407.5316930043,263480.1468348891,290916.2967132908,330110.62648053427,336562.3479233211,342019.4433192747,340752.9002579357
29,-95,82435.49807012976,108288.96114329493,109057.62172929989,113179.46762362271,124214.79888552515,129947.26829943067,137053.80882507807,144394.17344072694,143632.8692376898,136840.1996236375,136064.68161219396,130413.68547697204,131517.86689689342,137949.61038976596,149430.96741864362,161034.7785256462,171039.27261738037,180789.98682677335,191799.2794986111,201973.7065141895,214624.02746470235,243586.87735363125,278106.4538082513,276066.24649247265,272948.85771810374,268845.33784533944
29,-94,,,,,,92850.71640585944,98679.66667020015,104045.47620478354,106193.72305208763,106327.25755316883,104062.73150497487,102061.85824908891,98578.54438145961,96763.69578071077,102182.58360641544,105806.01126331938,126324.90119631073,132383.8429017107,143048.94117271216,161281.36139556483,172847.09327495962,181100.5759659404,181716.70108964562,177511.07929498013,178150.98700913895,178971.99562053234
29,-93,,,,,,,,,,,,,,,,,145325.74268118382,143163.66998750644,144531.0467536915,144474.12348009486,150072.8150692032,147212.85271719247,155559.69326217173,153322.02600639776,141990.54904851542,139673.2797847579
29,-92,,,,,,,,,,100643.0014409333,102949.55830932355,104187.7272431285,104360.84045411696,108872.03676418304,115483.27017109616,128252.92140491185,131044.13369510174,127977.84500652208,127720.32915346188,129524.134996921,136118.6633648962,136992.7889100291,138882.26903189984,139351.50295663034,136827.06985942845,134978.94613044136
29,-91,152688.46171141398,162601.54916729307,172245.35170125062,180277.76397204417,188125.03213468468,206539.204907537,224319.77347198423,228897.82114721718,225418.29404151381,200611.48851885312,191441.99774946034,186959.87120846056,182585.86481398036,190026.9429871184,193357.04577222504,209437.96422056842,221705.09544312212,216682.49400110455,218845.3454703306,230332.42263722038,246578.06281657837,260018.57601532753,264726.73606766755,250904.94846701503,239917.05321951315,234717.6950037863
29,-90,103515.01870386364,108428.29907939864,109139.24989237904,112064.29381225375,118590.30086182446,131474.33428249002,140816.48199770978,140962.86491921174,140020.91318437067,137817.20646580204,135597.2506222483,127842.34741317357,127580.0073920536,134000.681647521,144150.7711745721,148277.06481641656,160853.86942855795,162169.95420514737,176442.88658294478,186055.25332986738,207442.34645807056,216192.62381074476,225877.92666429473,213178.82221575495,197070.1221554292,190621.92682006984
29,-86,93853.01357413236,105169.23964718435,118430.2165038051,135614.88826685084,166130.86346761577,216889.13625070214,254918.26953194267,245859.3005342428,209774.05183332058,175289.9328202485,158835.75719543992,148303.0619689027,147331.88275254512,158758.10242816978,171202.51425820036,184083.19598388835,194283.0375787882,205740.63320615335,231233.3125084901,244539.1541448575,265444.2934645937,322256.5446396953,394934.12411722617,412685.832307013,423090.0602984674,404557.68722505803
29,-85,122237.07425273808,137977.32355179827,157487.5941755918,181467.06011172835,218876.2826615049,283472.21291420195,335784.4733988897,329436.1701914705,281153.568659965,237790.31028192854,217404.13229415464,206093.03433981826,205865.53014438017,222087.68268427285,232894.25062236315,243714.14522013805,255349.8317808466,267554.6772893024,290974.65984038607,310254.40660910326,299623.3351530669,360920.3264583063,442791.5861958385,444772.25435189396,469954.5059817723,452956.09283714107
29,-84,43978.42273948448,49141.5657063428,54960.33759976213,73453.26865555081,89653.6420887817,111013.72718911256,129905.16012001937,127709.05647298691,108715.64193982328,90907.75460617228,84278.26738785482,82403.45762990686,83294.65577075763,86995.81834469394,90720.69197443718,97033.33905534467,97788.88173574486,102182.0527743345,117456.35814427948,127750.54082687963,140588.2061919438,172985.36510796382,211596.84882814623,214386.43964850088,217252.0847634029,210085.72512066615
29,-83,97046.99038972585,104465.96164532685,112253.76541305301,122329.29392814654,134024.51035718914,157686.57589222543,191469.62451663826,195330.78001727475,175946.00472875067,151728.83941415584,138548.12717839843,124671.13676967827,117656.11715321951,121369.74001538294,128398.344522627,135561.93739184854,145801.84793553577,156810.39374286242,169527.17995179744,180739.9954526634,196021.78712434275,231456.90470350123,279457.21315332426,292928.9419595993,303202.79252629576,300397.0186483858
29,-82,108804.29085432898,117156.09371071789,126092.8336082863,138187.13480717634,134191.38664633565,163262.5009883692,200032.01747128897,198802.32250034736,171107.11391449103,143141.51274010507,129332.75656835128,117251.26230696026,114244.64289184647,121688.29398456322,132031.31886060044,141022.09403741139,152469.7949248628,165496.40420617338,180747.48535603672,193514.7962623406,208469.7742614574,247864.7356367996,303997.31414537056,311918.0761052268,316052.94236717763,306452.2253996841
29,-81,113661.27703246078,121485.29192405724,133789.034181101,151015.0143244342,173841.44897286213,212479.1727862536,256791.9460059466,238238.5281514901,194008.8374346122,166262.7742804668,149183.13686926797,139422.9824126459,134161.21922930944,145658.6652121041,159634.7444175436,172515.06291956923,188157.67588846316,206736.31067387297,224878.8211140009,235546.6435420075,250522.54628413313,292669.4379139728,354937.9947715278,367063.47457821487,368495.75277867814,350814.3961420642
30,-105,,,,,,,,,,,,,,,,,144030.90367937277,151550.6080612854,163923.1662680891,175881.592950399,188141.16988722453,230715.93583780652,302434.4037847493,291748.0150239434,316393.4134422349,311490.18432046764
30,-104,,,,,,,,,,,,,,,,,,,,204581.327571428,217305.5002383214,247613.3509784805,242814.17311612365,219512.43597544136,205843.71191501358,200786.5509046188
30,-103,,,,,,,,,,,,,,,,,114696.23526526795,121624.41662779685,129073.60398954691,149566.89594846513,175193.04527072786,184045.19035522384,174426.00307444285,155787.1721590698,155491.23468534733,146452.0209942227
30,-102,,,,,,,,,,,,,,,,,,,,,,,186478.49390810213,158771.2558652436,134454.90911404605,103948.04830582708
30,-101,,,,,,,,,,,,,,,,,149784.59763879605,150745.06355479985,157201.04869915795,165832.65887850212,172444.47720865882,195823.21235136953,205114.18416755952,180206.08085848895,179099.3212161824,166820.98470405856
30,-100,,,,,,164438.4764299377,169512.20897384733,181196.4382715001,209857.65471118726,200673.55655430927,194638.06877311,191537.882469059,197088.10851146796,202173.52832151236,214769.53439620425,227093.9624808996,230100.21390923855,245053.16879916415,262956.843687751,278735.732050431,300383.3732270928,358057.67564479436,389067.3697163301,377086.5883172999,381485.57829872984,383160.70292677946
30,-99,219825.47850195368,223585.75366907482,224290.26748804087,220675.47815705743,232879.4877022293,247643.43419954987,265574.75254265446,288602.42288937274,297079.0336907967,234603.21797548217,230569.102579079,226992.69266764188,230911.38217914288,240447.87867512807,257970.17242634506,278605.15471025347,297104.4608695709,313592.2961652179,335392.8684195489,354556.25095078367,383882.0046231398,490701.1916850437,608500.1468817898,577823.142399017,563413.0196043854,553775.0976558989
30,-98,226661.58197009534,236653.3430399162,233903.8477091498,231263.1168516111,237018.47823711167,247452.90509884668,257820.13426715377,261944.09840539898,254454.41505587878,237701.07847228472,233714.12970209916,227165.81898479845,234961.96337398043,258360.74799709165,286873.43830521544,314516.3884065492,335902.55820885673,352296.7426592496,367977.8983530213,380175.78618113144,411253.79058327945,530794.2035290726,636462.8789945046,586142.8906368901,560289.1920469025,537440.5978699713
