lat_bin,lon_bin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
19.0,-156.0,,,,,,,,,,,,,,,,248202.95580727104,252730.13394794625,267853.1538237892,278694.3577542108,285067.32398515963,304051.952850749,361886.9837702224,446730.0535015451,443082.91346299136,444212.1975921858,434764.54047702113
19.0,-155.5,,,,,,,,,,,,,,,,175288.96144511862,187061.9382045211,205863.69007565494,210695.87701134212,215136.17613908532,226663.41017568263,260949.67156257425,323959.1589259592,326306.68846620613,329667.42983036075,318042.76398416003
19.5,-156.0,,,,,,,,,,,,,,,,535002.334791396,568237.4227313007,593591.8541299773,621984.86255864,626293.1902247898,649938.6094372207,783144.5579224743,983985.504257801,987459.2271862993,1008553.5452362743,996694.4197774429
19.5,-155.5,146980.57793355017,133369.44260071154,122607.32805414782,149656.20078887886,170878.12940452198,250464.16939325677,315472.4389074457,342932.57780214376,308672.8873968561,285104.33636774204,262148.73641198425,220203.206887356,228746.07870840604,241995.9310428415,269087.28963670426,254324.4611254954,270206.74184142915,284117.43884523085,372029.168929341,383351.60747970996,403137.8851961609,472897.55139166117,571957.2660937113,566342.8310056535,568636.905474078,566386.9420517049
20.0,-156.0,,,,,,,,,,,,,,,,341249.91694357793,371909.5235336214,396961.5450461991,458738.85148851364,471822.1036191713,497750.1926491636,580718.62307007,694666.9375426266,708405.9136653376,710054.0162509783,703220.3453312394
20.5,-157.0,205331.81409309185,230839.7331894127,254472.46269102092,291022.10146973364,363061.87081695837,456742.93268121575,551101.7756029762,580870.8123584354,545801.5511679075,494440.4974611832,466991.63721679844,453575.8660274311,450372.97049135325,492321.0276832503,563619.0496372686,624362.9689543211,674792.396381526,708438.339365997,741525.3676793353,762849.4243389606,805274.8907348408,916278.9477178347,1119254.0976426986,1167338.0479615089,1209976.9748586186,1146179.1198421803
20.5,-156.5,233604.8827827014,261573.7430554165,293781.5355527921,336266.31032253243,416903.47348435875,521450.51744200016,604503.7780255162,616520.7976085271,582353.8755563634,530085.8874782533,503841.7885139867,488652.99284596654,490227.7430608259,537993.86835071,612507.9062333431,660221.6466150489,703209.0488504466,740484.4631907828,747481.5712535289,764698.7831436377,800302.8466025259,932156.0983499571,1146202.0129551254,1173760.3313987353,1209424.876251996,1195538.2607006186
21.0,-158.5,210535.25276397346,213942.2742787275,224832.91887716192,261128.71309008377,315486.4900277347,403926.3367455729,488368.7141787861,494502.58093816164,470220.2554143029,422852.25715024193,414461.7601702304,410757.81962771626,411561.6198690399,440164.8920435291,469175.4128580989,496444.90799706173,533603.2462200604,571835.4263796423,606237.5248288121,611182.514995236,626605.4064440045,713380.2265754389,827304.2427259805,806569.0980529835,808735.2361240588,792354.7809170466
21.0,-158.0,321120.35775042686,337563.2394063948,359439.93438267976,408584.3145182338,481433.1432289126,582708.113912293,681428.042334342,693513.8380094153,697614.1180612346,639472.9735986098,630433.5499437083,636847.1129747588,629156.9158036954,664490.9542629524,716682.4695770454,750791.6998017196,785306.9676706067,825725.6395078005,856149.8592685196,857221.7446071366,864801.3496152824,965749.1577591451,1131294.392780318,1106110.5425196767,1122313.317723899,1127194.537572528
21.0,-157.5,,,,,,,,,,,,,,,,,598506.3452240321,612378.6854533873,478921.3693490821,507527.5939375947,537541.200164134,549896.7803309772,617442.8725740954,629312.2928581927,626253.1707173546,585589.4935472249
21.0,-157.0,178695.1211447684,192742.83622118676,192151.02900200296,202806.3988046116,252770.112807491,314388.6862095878,366513.0167096033,392896.0859129123,369461.8679772341,325434.0862245837,294993.4865002954,292430.27976374235,277701.0212197604,291374.0539158483,307252.5421710221,321029.9101501983,333815.5302994626,349091.9717437002,347306.1807100658,365659.0847346319,407964.9246466395,418980.7535215894,478483.0103021969,467309.94197439856,465541.7610387957,435327.23397038894
21.5,-160.0,151303.73756222034,165150.45176218633,179093.2014105632,204834.7507632922,264689.60342986375,341116.18056722166,408877.4159868909,390956.4607760131,374802.58326263126,346426.7343842353,336282.2355935215,332730.55194436904,340982.1613638737,376961.55128988903,415388.6359206464,446781.76720863464,467133.4211147886,491107.0138249223,520196.0659875441,541885.6569099819,577550.2531938147,663418.1797486629,798718.690229685,844949.2282233586,883462.5845330154,867826.088526493
21.5,-159.5,181014.96514836577,198924.89366450818,214741.72115974285,242590.36688796335,308638.4201227914,414323.4014112842,479093.4265943887,495802.8268317422,492486.964519736,458601.07379228494,442512.69071761717,436331.3597066527,444966.49366663815,490704.33664448175,546395.0580870702,579603.9058202455,598344.7273249419,623792.9018770186,660201.7505504368,710334.5509695065,760197.5611993093,873027.5481511602,1037016.1320987012,1090742.8128108473,1125476.6956200488,1118682.7079042003
21.5,-158.5,256779.04531679626,268354.18737599364,290403.7662677585,343041.157766078,423873.1933982141,567211.8899242337,702509.2406102717,742386.1177852055,716383.0752090765,599082.0636747258,574989.5713024545,593912.6921577663,565072.9101842938,612473.4830124456,658747.9682014518,694565.5362742727,746037.8675136794,797765.2439646721,861126.6629222091,883207.3348743083,904980.157351462,1028897.2214380488,1212987.7872969143,1171537.399099661,1178707.866682345,1191188.380688753
21.5,-158.0,249868.93795754842,268835.2505181627,288925.4223121108,334477.68518968986,414567.9388294338,539366.7438026201,660317.6529768561,704047.8674405788,691684.4302247223,586011.8169851257,544582.822616776,563696.3741701719,544258.4550284973,567168.8435613632,618446.3922106499,645793.9170429832,674764.0055074709,721286.7578947386,774106.4927575886,795019.6328022605,814467.9214070397,927649.9213753981,1078389.404512127,1047196.3915923769,1068049.6961141035,1073679.528311398
22.0,-160.0,133272.77312643218,147401.9460048389,158844.55721924332,179633.07891606344,231873.2502535251,325035.9936117996,382062.0342991496,353052.07131609967,336094.64522526175,309614.031384094,300129.8187828782,302644.5523054769,315232.2554033022,358869.3912430145,408465.1136488445,436262.7318825098,461817.9202335747,479246.6676933256,511486.2928397175,833051.2214644123,865760.6938273782,1021447.3600767421,1260098.9217224391,1317343.7969862113,1393863.9071976112,1349664.4769850718
22.0,-159.5,269972.78058503976,301693.9600232108,330540.3120095672,378384.958339259,464732.8438039901,598459.5611358323,689545.9256817786,680680.9986788082,661099.5805004976,609131.2305428312,582296.6365116052,570859.3180472333,581931.4784663874,649731.6923227339,715181.8898549165,773591.522157794,822593.6766924988,861616.7962747464,923197.836957812,888833.4208942495,929846.5835693347,1099136.0530817471,1355808.2915978953,1414575.6951148706,1506889.435585788,1499188.0511416057
24.5,-82.0,,,,,,,,,,,,,,,,,557293.465151868,584396.2154133532,602341.8953823281,620919.7305330723,661540.717814588,779210.44618422,1011472.1279862273,1055938.4318567803,1085776.673740872,1038584.7629765377
24.5,-81.5,,,,,,,,,,,,,,,,,491266.6397560605,518242.37548910774,528177.4742701454,537281.4728381586,563934.4737905419,673703.2929193531,881553.260122375,925184.5742856237,936613.8852445366,897184.5941370622
24.5,-81.0,,,,,,,,,,,,,,,,,663166.9272559282,682054.09502412,710915.2838883075,638262.3054190776,673091.9584257179,845747.2806268055,1154499.0643246055,1185265.5553084346,1202477.3183994452,1176018.8835317167
