lat_bin,lon_bin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
25.0,-80.75,,,,,,,,,,,,,,,,,535134.3154667295,570066.1303434782,607439.0365701249,626394.1383404528,672148.0807790351,842566.731611197,1090328.80376303,1104173.4309640618,1107143.7117562734,1063759.1243043717
25.0,-80.5,,,,,,,,,,,,,,,,,518111.2445445036,541977.8921809817,573230.4587434373,591088.514022871,621576.3109625379,772709.6464676103,1003528.4702577584,1032235.2060313964,1072863.8536172863,1042524.5247907648
25.25,-80.75,93248.80536002826,99501.25005266182,109614.9042801651,128203.23980533767,155368.18826267507,202954.1509873798,253723.6505374442,260453.92339950905,209667.96196463116,146350.69985737186,114311.96215729487,92164.0340746422,93657.54237208175,108705.4358582395,126181.81466209906,144577.0198052975,169889.84615536314,198647.2312402111,227770.38907205255,246384.0414924299,267758.200003086,316670.9657500315,392533.48049337405,425419.8856397653,464312.4407985483,470391.3289018861
25.25,-80.5,92966.34806456388,99060.14072301493,110723.84954600461,130772.30253528617,157429.61121221044,201332.61151779583,248379.09459141595,258709.63501320643,208905.83954686704,130361.53299629805,101191.56590100538,91404.37151651543,96805.27737296041,116656.48805456715,138253.91100908723,155432.8917484302,178455.667081799,200679.82644611198,222608.9309134814,238518.80907118483,252060.66399255177,295685.2730942031,373179.58347552555,407738.30147744727,435263.08952956926,429389.83385658986
25.5,-80.75,175235.56946702272,189395.78660336157,212717.22656797065,252914.8283471836,304129.4579449784,388020.4461695531,476755.98811560357,501384.68349002197,400786.4331987735,282921.30202932464,250573.52452890237,234179.11558177895,232146.5791915291,261278.89499381275,295071.7050684762,319623.2349581876,343069.8117447688,363630.2856605292,387178.8330679299,410011.4508968652,435890.9687550238,513650.40920945886,635689.6098186382,675071.2325901483,735389.1582178157,744310.6798373708
25.5,-80.5,186628.02748466306,204308.0719319711,234343.81903196723,275441.7158808297,320578.6498592826,396553.2182910561,481992.8004721839,493540.7974235442,406473.4367269451,299352.63016755617,273731.5680604425,260180.64489223436,265359.2241775735,300439.3379554274,338085.35569660924,373145.9303404388,404561.9388902,423424.07647981716,445685.64010635356,461243.42830541206,483559.463748259,564015.3584019578,715309.999948662,777500.8924359701,856368.1785301138,862700.995662747
25.5,-80.25,624859.54970906,712541.6174141155,819071.0099858099,942264.3744204164,1058302.4286718327,1283462.594721126,1557411.7962324214,1579960.4638690222,1308197.5471242946,1001247.8327627312,945519.9834957343,945979.1708238355,1007562.7639143198,1212299.6914742105,1434899.715972087,1557523.225764638,1604641.4927333558,1557756.492720293,1510707.3561347276,1485792.577419064,1443725.9794381906,1709250.0637473809,2377841.8265097085,2513932.4699481623,2621201.3023911333,2609379.0524267782
25.75,-97.75,,90292.16812350492,88957.08281299612,91529.96887264204,98885.5573394453,108716.97975329698,111344.70457853773,113238.48017720248,113964.87915823254,112779.36712996736,111992.84265463694,108052.38419423264,103427.4793752483,102492.02332699712,102027.04844994492,105226.47606830916,105374.27027359606,109362.28524995122,111331.2733356351,110075.3989806382,120082.4866912064,142283.2722939033,165087.34697158998,179060.7143266026,186553.2783326044,186505.01427534636
25.75,-97.5,,92311.90768621981,91123.50841520373,94364.5299887398,100755.62365096757,109294.90515783183,114383.20298532715,115135.20564881945,114579.63554193894,111695.4957065352,114884.67672597733,112094.35680758388,108676.72168340228,107701.02378775601,107654.52148540501,110802.90817064694,113061.24761436539,116265.89231467346,118154.00703454949,115516.0719069834,124013.85517761417,146387.25050438693,170851.11502268017,186296.56133006862,194792.16498759162,198431.78477911564
25.75,-81.75,235899.9646979215,279683.98677539703,314806.01894766145,349305.1112896311,415785.5901922754,576133.9473848686,656311.505322037,577922.2719416675,485267.6612287041,405184.6298149214,368104.61188977043,350670.37594283605,344177.8318616114,375134.46320927935,416754.41925062815,453156.3200569411,488725.2425946309,489135.1104037108,488713.158766371,502083.37559578917,525413.7311496518,664289.9401806291,929526.8540947009,957964.3029417316,980268.2920298056,919118.1878633472
